"CREW","DOC_TYP","DOC_SUBTYPE","VALIDFROM","VALIDTO","DOCNO","MAINDOCNO","ISSUER","SI","AC_QUAL"
"24723","REC","REC",2017-09-06,2018-09-01,"","","","",""
"30410","REC","REC",2017-09-06,2018-09-01,"","","","",""
"37541","REC","REC",2017-09-06,2018-09-01,"","","","",""
"35461","REC","REC",2017-09-06,2018-09-01,"","","","",""
"34461","REC","REC",2017-09-06,2018-09-01,"","","","",""
"69956","REC","REC",2017-09-07,2018-10-01,"","","","",""
"12153","REC","REC",2017-09-07,2018-09-01,"","","","",""
"17494","REC","REC",2017-09-07,2018-10-01,"","","","",""
"63109","REC","REC",2017-09-07,2018-10-01,"","","","",""
"38833","REC","REC",2017-09-07,2018-10-01,"","","","",""
"37538","REC","REC",2017-09-07,2018-10-01,"","","","",""
"34498","REC","REC",2017-09-07,2018-10-01,"","","","",""
"33367","REC","REC",2017-09-07,2018-10-01,"","","","",""
"30335","REC","REC",2017-09-07,2018-10-01,"","","","",""
"30021","REC","REC",2017-09-07,2018-10-01,"","","","",""
"28044","REC","REC",2017-09-08,2018-10-01,"","","","",""
"23515","REC","REC",2017-09-08,2018-10-01,"","","","",""
"22405","REC","REC",2017-09-08,2018-10-01,"","","","",""
"24290","REC","REC",2017-09-08,2018-10-01,"","","","",""
"24638","REC","REC",2017-09-08,2018-10-01,"","","","",""
"20528","REC","REC",2017-09-08,2018-10-01,"","","","",""
"30391","REC","REC",2017-09-20,2018-09-01,"","","","",""
"30409","REC","REC",2017-09-20,2018-09-01,"","","","",""
"48207","REC","REC",2017-09-22,2018-10-01,"","","","",""
"48211","REC","REC",2017-09-22,2018-10-01,"","","","",""
"48212","REC","REC",2017-09-22,2018-10-01,"","","","",""
"48250","REC","REC",2017-09-22,2018-10-01,"","","","",""
"48251","REC","REC",2017-09-22,2018-10-01,"","","","",""
"48254","REC","REC",2017-09-22,2018-10-01,"","","","",""
"49156","REC","REC",2017-09-22,2018-10-01,"","","","",""
"49162","REC","REC",2017-09-22,2018-10-01,"","","","",""
"49164","REC","REC",2017-09-22,2018-10-01,"","","","",""
"49202","REC","REC",2017-09-22,2018-10-01,"","","","",""
"49198","REC","REC",2017-09-22,2018-10-01,"","","","",""
"49188","REC","REC",2017-09-22,2018-10-01,"","","","",""
"48205","REC","REC",2017-09-22,2018-10-01,"","","","",""
"48203","REC","REC",2017-09-22,2018-10-01,"","","","",""
"48201","REC","REC",2017-09-22,2018-10-01,"","","","",""
"48183","REC","REC",2017-09-22,2018-10-01,"","","","",""
"45035","REC","REC",2017-09-22,2018-10-01,"","","","",""
"40818","REC","REC",2017-09-22,2018-10-01,"","","","",""
"49812","REC","REC",2017-09-22,2018-10-01,"","","","",""
"49204","REC","REC",2017-09-22,2018-10-01,"","","","",""
"49203","REC","REC",2017-09-22,2018-10-01,"","","","",""
