"CREW","DOC_TYP","DOC_SUBTYPE","VALIDFROM","VALIDTO","DOCNO","MAINDOCNO","ISSUER","SI","AC_QUAL"
"17936","REC","REC",2013-09-04,2017-09-09,"","","","",""
"15580","REC","REC",2015-09-03,2017-10-01,"","","","",""
"17066","REC","REC",2011-09-29,2017-10-01,"","","","",""
"19666","REC","REC",2014-09-03,2017-10-01,"","","","",""
"16321","REC","REC",2010-09-09,2017-10-01,"","","","",""
"23787","REC","REC",1986-01-01,2017-10-01,"","","","",""
"12451","REC","REC",2013-09-20,2017-10-01,"","","","ini",""
"17201","REC","REC",2011-09-29,2017-10-01,"","","","",""
"23624","REC","REC",1986-01-01,2017-10-01,"","","","",""
"85803","REC","REC",2015-09-17,2017-10-01,"","","","",""
"29545","REC","REC",2015-09-17,2017-10-01,"","","","",""
"17059","REC","REC",2014-10-02,2017-10-01,"","","","",""
"14017","REC","REC",1986-01-01,2017-10-01,"","","","",""
"10928","REC","REC",2010-09-09,2017-10-01,"","","","",""
"15474","REC","REC",1986-01-01,2017-10-01,"","","","",""
"17156","REC","REC",2011-09-29,2017-10-01,"","","","",""
"10499","REC","REC",2013-09-03,2017-10-01,"","","","",""
"45957","REC","REC",2016-09-22,2017-10-01,"","","","",""
"45967","REC","REC",2016-09-22,2017-10-01,"","","","",""
"45983","REC","REC",2016-09-22,2017-10-01,"","","","",""
"46053","REC","REC",2016-09-22,2017-10-01,"","","","",""
"46055","REC","REC",2016-09-22,2017-10-01,"","","","",""
"46093","REC","REC",2016-09-22,2017-10-01,"","","","",""
"46175","REC","REC",2016-09-22,2017-10-01,"","","","",""
"45977","REC","REC",2016-09-22,2017-10-01,"","","","",""
"54908","REC","REC",2016-09-28,2017-10-01,"","","","",""
"54904","REC","REC",2016-09-28,2017-10-01,"","","","",""
"35307","REC","REC",2014-10-14,2017-10-01,"","","","",""
"23150","REC","REC",2015-09-03,2017-10-01,"","","","",""
"22564","REC","REC",2010-09-10,2017-10-01,"","","","",""
"73760","REC","REC",2012-02-24,2017-10-01,"","","","",""
"34779","REC","REC",2011-09-09,2017-10-01,"","","","",""
"37820","REC","REC",2013-09-05,2017-10-01,"","","","",""
"39427","REC","REC",2013-09-05,2017-10-01,"","","","",""
"34831","REC","REC",2016-10-13,2017-10-01,"","","","",""
"45426","REC","REC",2016-09-01,2017-10-01,"","","","",""
"45905","REC","REC",2016-09-01,2017-10-01,"","","","",""
"45916","REC","REC",2016-09-01,2017-10-01,"","","","",""
"45925","REC","REC",2016-09-01,2017-10-01,"","","","",""
"45720","REC","REC",2016-09-01,2017-10-01,"","","","",""
"45749","REC","REC",2016-09-01,2017-10-01,"","","","",""
"45765","REC","REC",2016-09-01,2017-10-01,"","","","",""
"45782","REC","REC",2016-09-01,2017-10-01,"","","","",""
"45810","REC","REC",2016-09-01,2017-10-01,"","","","",""
"45851","REC","REC",2016-09-01,2017-10-01,"","","","",""
"45855","REC","REC",2016-09-01,2017-10-01,"","","","",""
"45899","REC","REC",2016-09-01,2017-10-01,"","","","",""
"37339","REC","REC",2014-09-03,2017-10-01,"","","","",""
"12378","REC","REC",2013-09-20,2017-10-01,"","","","ini",""
"39143","REC","REC",2010-09-22,2017-10-01,"","","","",""
"39749","REC","REC",2013-09-05,2017-10-01,"","","","",""
"39402","REC","REC",2014-09-03,2017-10-01,"","","","",""
"35270","REC","REC",1986-01-01,2017-10-01,"","","","",""
"20483","REC","REC",1986-01-01,2017-10-01,"","","","",""
"54953","REC","REC",1986-01-01,2017-10-01,"","","","",""
"85427","REC","REC",2011-09-07,2017-10-01,"","","","",""
"39398","REC","REC",2011-09-09,2017-10-01,"","","","",""
"34878","REC","REC",2014-09-03,2017-10-01,"","","","",""
"69138","REC","REC",2013-09-05,2017-10-01,"","","","",""
"39355","REC","REC",1986-01-01,2017-10-01,"","","","",""
"23514","REC","REC",2015-09-10,2017-10-01,"","","","",""
"10712","REC","REC",1986-01-01,2017-10-01,"","","","",""
"37304","REC","REC",2013-09-05,2017-10-01,"","","","",""
"34820","REC","REC",2011-09-09,2017-10-01,"","","","",""
