10174;10174;2005-06-01 00:00;2035-12-31 00:00;90;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;;#N/A;#N/A;for JAN10;#VALUE!;#N/A
10709;10709;2001-05-01 00:00;2035-12-31 00:00;180;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;;#N/A;#N/A;#N/A;#N/A;#N/A
11880;11880;2009-09-01 00:00;2035-12-31 00:00;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;;#N/A;#N/A;#N/A;#N/A;#N/A
12937;12937;2005-06-01 00:00;2035-12-31 00:00;60;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;;#N/A;#N/A;#N/A;#N/A;#N/A
15454;15454;2008-05-01 00:00;2035-12-31 00:00;120;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;;#N/A;#N/A;#N/A;#N/A;#N/A
15662;15662;2005-06-01 00:00;2035-12-31 00:00;30;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;;#N/A;#N/A;#N/A;#N/A;#N/A
16454;16454;2009-11-01 00:00;2035-12-31 00:00;0;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;;#N/A;#N/A;#N/A;#N/A;#N/A
16897;16897;2005-06-01 00:00;2035-12-31 00:00;60;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;;#N/A;#N/A;#N/A;#N/A;#N/A
18722;18722;2008-12-01 00:00;2035-12-31 00:00;210;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;;#N/A;#N/A;#N/A;#N/A;#N/A
85849;20342;2009-04-01 00:00;2035-12-31 00:00;90;30;30;210;30;390;1,625;1;240;150;30;180;0,75;0;0;180
84049;20386;2001-05-01 00:00;2035-12-31 00:00;60;30;30;210;30;360;1,500;1;240;120;210;330;1,375;1;240;90
84051;20387;2001-05-01 00:00;2035-12-31 00:00;210;30;30;210;30;510;2,125;2;480;30;360;390;1,625;1;240;150
84052;20408;2001-05-01 00:00;2008-01-01 00:00;90;30;30;210;30;390;1,625;1;240;150;;150;0,625;0;0;150
84055;20409;2001-05-01 00:00;2035-12-31 00:00;150;30;30;210;30;450;1,875;1;240;210;;210;0,875;0;0;210
84057;20423;2001-05-01 00:00;2035-12-31 00:00;60;30;30;210;30;360;1,500;1;240;120;;120;0,5;0;0;120
84060;20433;2001-05-01 00:00;2035-12-31 00:00;0;30;30;210;30;300;1,250;1;240;60;;60;0,25;0;0;60
84064;20435;2001-05-01 00:00;2035-12-31 00:00;120;30;30;210;30;420;1,750;1;240;180;300;480;2;2;480;0
84065;20442;2001-05-01 00:00;2035-12-31 00:00;180;30;30;210;30;480;2,000;2;480;0;180;180;0,75;0;0;180
20484;20484;2006-06-01 00:00;2035-12-31 00:00;150;90;90;180;240;750;3,125;3;720;30;;30;0,125;0;0;30
84069;20495;2001-05-01 00:00;2035-12-31 00:00;90;30;30;210;30;390;1,625;1;240;150;150;300;1,25;1;240;60
84071;20520;2001-05-01 00:00;2035-12-31 00:00;150;30;30;210;30;450;1,875;1;240;210;330;540;2,25;2;480;60
84072;20550;2001-05-01 00:00;2035-12-31 00:00;180;30;30;210;30;480;2,000;2;480;0;;0;0;0;0;0
84080;20555;2002-04-01 00:00;2035-12-31 00:00;30;30;30;210;30;330;1,375;1;240;90;150;240;1;1;240;0
84081;20556;2002-04-01 00:00;2035-12-31 00:00;30;30;30;210;30;330;1,375;1;240;90;30;120;0,5;0;0;120
84083;20565;2004-05-01 00:00;2035-12-31 00:00;90;30;30;210;30;390;1,625;1;240;150;60;210;0,875;0;0;210
84085;20589;2002-04-01 00:00;2035-12-31 00:00;180;30;30;210;30;480;2,000;2;480;0;;0;0;0;0;0
87557;20702;2001-05-01 00:00;2035-12-31 00:00;90;30;30;210;30;390;1,625;1;240;150;150;300;1,25;1;240;60
