CREWID	EXTPERKEY	BASE	STATION	QUAL	CURR_F3	CURR_F3S	NEW_F3_CORR	NEW_F3S_CORR	RM_F3	RM_F3S
10169	29904	CPH	CPH	A2	-100	100	N/A	N/A	100	-100
10214	10214	STO	STO	36	N/A	N/A	-100	100	N/A	N/A
10239	10239	STO	STO	36	N/A	N/A	-100	100	N/A	N/A
10350	10350	STO	STO	36	N/A	N/A	-100	100	N/A	N/A
10551	10551	STO	STO	M8	N/A	N/A	-100	100	N/A	N/A
10665	10665	STO	STO	36	N/A	N/A	-100	100	N/A	N/A
10756	10756	STO	STO	36	N/A	N/A	-100	100	N/A	N/A
10944	10944	STO	STO	A3 A4	N/A	N/A	-100	100	N/A	N/A
10991	10991	STO	STO	M8	N/A	N/A	-100	100	N/A	N/A
11096	29950	CPH	CPH	M8	-100	100	-100	100	N/A	N/A
11101	29951	CPH	CPH	M8	-100	100	N/A	N/A	100	-100
11602	22609	CPH	CPH	A2	N/A	N/A	-100	100	N/A	N/A
11613	11613	STO	STO	36	-100	100	N/A	N/A	100	-100
11686	11686	STO	STO	36	N/A	N/A	-200	200	N/A	N/A
11743	*11743	*STO	*STO	FF	N/A	N/A	-200	200	N/A	N/A
12485	12485	STO	STO	36	N/A	N/A	-100	100	N/A	N/A
12782	*12782	*STO	*STO	FF	N/A	N/A	-200	200	N/A	N/A
12940	*12940	*STO	*STO	FF	N/A	N/A	-200	200	N/A	N/A
13162	13162	STO	STO	36	N/A	N/A	-100	100	N/A	N/A
13328	29855	CPH	CPH	M8	N/A	N/A	-100	100	N/A	N/A
13700	28404	CPH	CPH	M8	N/A	N/A	-100	100	N/A	N/A
13776	13776	STO	STO	36	N/A	N/A	-100	100	N/A	N/A
13810	13810	STO	STO	36	-100	100	N/A	N/A	100	-100
# 14376	14376	STO	STO	36	N/A	N/A	-100	100	N/A	N/A
14452	14452	STO	STO	36	N/A	N/A	-100	100	N/A	N/A
14461	14461	STO	STO	36	N/A	N/A	-100	100	N/A	N/A
14603	*14603	*STO	*STO	FF	N/A	N/A	-200	200	N/A	N/A
