178301648;12995;n4PxYUQiQTCwml4EUnyEMg==;12996;SK 009047 ;AJR
178301648;12982;8s1B1ReZSU+2fL58p9VjqA==;12982;SK 009048 ;LLA
177795069;12962;4cbb+9EmTTaqg8G8NkG07Q==;12962;SK 000885 ;ARN
176849404;12943;G+SggPAJT8ayXx2KCiISVA==;12943;SK 000488 ;OSL
176849404;12943;AmBYMkQtQuOBXgk1blczCQ==;12943;SK 000488 ;OSL
176849404;12929;B/M7uaduRaKpS0N1Bx5upA==;12929;SK 000488 ;OSL
176301596;12915;trSVd2aMTkiTIG5qeovKEw==;12917;SK 001460 ;CPH
176019410;12904;7lpK/wfxRRCXW2qQBGL8ag==;12904;SK 000491 ;ARN
175519999;12898;d6WLT0CMQC67RTvgIYkslw==;12898;SK 000886 ;OSL
175519999;12891;STCuImj3RSivvkIBbfjTMQ==;12891;SK 000886 ;OSL
175974686;12870;VhSV7rOWR4ex0rEpNoSy+w==;12871;SK 004552 ;BOO
175974686;12870;VhSV7rOWR4ex0rEpNoSy+w==;12872;SK 004083 ;EVE
175974686;12870;VhSV7rOWR4ex0rEpNoSy+w==;12872;SK 004082 ;OSL
175974686;12870;VhSV7rOWR4ex0rEpNoSy+w==;12872;SK 000343 ;TRD
175974686;12870;VhSV7rOWR4ex0rEpNoSy+w==;12872;SK 000315 ;HAU
175974686;12870;VhSV7rOWR4ex0rEpNoSy+w==;12872;SK 000312 ;OSL
175974686;12870;VhSV7rOWR4ex0rEpNoSy+w==;12871;SK 004571 ;TOS
175974686;12870;VhSV7rOWR4ex0rEpNoSy+w==;12871;SK 004552 ;TRD
175974686;12870;VhSV7rOWR4ex0rEpNoSy+w==;12871;SK 004571 ;BOO
174810694;12859;IWXUKGV2TtWgKHUxUE/0Yg==;12861;SK 001416 ;CPH
174810694;12859;IWXUKGV2TtWgKHUxUE/0Yg==;12859;SK 001419 ;ARN
174633485;12843;4VTEoNmNQregl4FB+66Seg==;12844;SK 000400 ;CPH
174906620;12830;eosQA1CVTpStAggK8xFvXA==;12831;SK 000361 ;TRD
174906620;12830;eosQA1CVTpStAggK8xFvXA==;12831;SK 004137 ;BGO
174906620;12830;eosQA1CVTpStAggK8xFvXA==;12831;SK 004154 ;SVG
174906620;12830;eosQA1CVTpStAggK8xFvXA==;12831;SK 004154 ;BGO
173764156;12798;4hQVTSkFSnSuE2ibsQloPw==;12799;SK 001469 ;OSL
172909469;12787;Rtuc4a50SW2e9w4RS9SCPg==;12787;SK 001430 ;CPH
172909469;12787;Rtuc4a50SW2e9w4RS9SCPg==;12788;SK 001415 ;ARN
172760087;12759;S02oBA86RyGeQsJ8snFWhQ==;12759;SK 000274 ;BGO
172760087;12759;ehAqCrU+SHuNAJPnebAhEA==;12759;SK 000257 ;OSL
172760087;12759;S02oBA86RyGeQsJ8snFWhQ==;12759;SK 004164 ;SVG
170052292;12747;h+d9v4VASXqzegwQ7PZKDw==;12747;SK 000883 ;ARN
170052292;12747;h+d9v4VASXqzegwQ7PZKDw==;12748;SK 001484 ;OSL
170550964;12718;ybCXgquYQdWuo+TCjSFp6g==;12718;SK 000377 ;TRD
170550964;12718;47ELZm+QS/CrcFYAiHkWgw==;12717;SK 000847 ;ARN
170548377;12713;8Sra+svbR/2snXAysg+Irg==;12716;SK 000158 ;GOT
170548377;12713;8Sra+svbR/2snXAysg+Irg==;12716;SK 001021 ;SFT
170548377;12713;8Sra+svbR/2snXAysg+Irg==;12716;SK 001020 ;ARN
170548377;12713;8Sra+svbR/2snXAysg+Irg==;12715;SK 007674 ;LPA
170548377;12713;8Sra+svbR/2snXAysg+Irg==;12715;SK 007673 ;GOT
171015064;12712;sgfnwEhwQoyTpSNELhWCJw==;12711;SK 004581 ;BOO
170548377;12712;2UBS4h7yQ72ssQd/IsomPQ==;12713;SK 001016 ;ARN
171015064;12712;sgfnwEhwQoyTpSNELhWCJw==;12711;SK 004581 ;TOS
170548377;12712;2UBS4h7yQ72ssQd/IsomPQ==;12713;SK 001017 ;SFT
171015064;12712;sgfnwEhwQoyTpSNELhWCJw==;12711;SK 004566 ;BOO
171015064;12712;sgfnwEhwQoyTpSNELhWCJw==;12711;SK 004566 ;TRD
171015265;12711;kYyiIXgHSOKkdjiCSA+BSg==;12712;SK 004147 ;TRD
171015265;12711;kYyiIXgHSOKkdjiCSA+BSg==;12713;SK 000380 ;OSL
171015265;12711;kYyiIXgHSOKkdjiCSA+BSg==;12713;SK 000393 ;OSL
171015265;12711;kYyiIXgHSOKkdjiCSA+BSg==;12713;SK 000396 ;BDU
171015265;12711;kYyiIXgHSOKkdjiCSA+BSg==;12712;SK 000268 ;BGO
171015265;12711;kYyiIXgHSOKkdjiCSA+BSg==;12712;SK 004147 ;AES
171015265;12711;kYyiIXgHSOKkdjiCSA+BSg==;12712;SK 000319 ;HAU
171015265;12711;kYyiIXgHSOKkdjiCSA+BSg==;12712;SK 000316 ;OSL
170299363;12703;IDKwABSYRbyyl4LYMXYxhQ==;12703;SK 000263 ;OSL
168948363;12669;B5upzLHtSpe0Yu8K9QoZeg==;12670;SK 000165 ;ARN
168948423;12669;+F78eecRSqu/fhps79aw9Q==;12668;SK 000171 ;ARN
168949926;12665;4e8aXjtuSwKR9eavEWSg7Q==;12666;SK 001313 ;AES
167982738;12636;FZDxuGAYTeaNGZaw1aTRYA==;12637;SK 000379 ;TRD
167899739;12627;0Ji7zxFTS/K+gAsWYFPMsw==;12626;SK 001468 ;CPH
167899739;12627;0Ji7zxFTS/K+gAsWYFPMsw==;12627;SK 001477 ;OSL
167163367;12604;wTe92iRJR0q86gGFbP3Bgg==;12604;SK 000354 ;OSL
167163367;12604;wTe92iRJR0q86gGFbP3Bgg==;12604;SK 004704 ;NCE
161473442;12569;WJpZ+cssRj+DdtQv7+nBkQ==;12569;SK 001464 ;CPH
162417235;12524;kIHZ9mDKToyzqgg3DfGK9A==;12525;SK 000290 ;BGO
162424784;12524;kIHZ9mDKToyzqgg3DfGK9A==;12525;SK 004192 ;BGO
162424784;12524;kIHZ9mDKToyzqgg3DfGK9A==;12524;SK 000359 ;TRD
162417235;12523;5kGIHT5nSAS9OpYhA6hlew==;12525;SK 004009 ;OSL
162417235;12523;5kGIHT5nSAS9OpYhA6hlew==;12523;SK 004024 ;SVG
163383069;12510;J6Ly8IvPTwa13Svuf5TBlQ==;12511;SK 000005 ;LLA
163201184;12504;jTBHPT9fR5KicfRtPfysWg==;12504;SK 000248 ;BGO
163209779;12503;2o4lCKSHQeyf5osGo37GDw==;12503;SK 000362 ;OSL
163209779;12503;2o4lCKSHQeyf5osGo37GDw==;12503;SK 000375 ;TRD
163395692;12502;laZAfIUQRJWYqe7Arzammg==;12505;SK 004423 ;TOS
163113724;12500;j2/7u3daSz28LojfylZ1Ug==;12500;SK 004083 ;EVE
163336598;12500;otHnLjIfSeeB/hGbGuUSwA==;12500;SK 004038 ;SVG
163336598;12500;otHnLjIfSeeB/hGbGuUSwA==;12500;SK 004035 ;OSL
163103673;12498;PiW9PcoaQ/mCxlEPXsm1uQ==;12500;SK 004046 ;SVG
162881078;12496;K5rR7WwcTUiM0UYJXrKqtA==;12496;SK 000391 ;OSL
159913858;12493;VsLVI/LyRzeogDy5eh5lLA==;12494;SK 001550 ;AMS
160792841;12479;J2cgwlkITMiquZnRkYfX3Q==;12479;SK 000499 ;ARN
160792841;12479;J2cgwlkITMiquZnRkYfX3Q==;12479;SK 000482 ;OSL
160728837;12469;eem4IisdTm2OqhfRIZ3KGg==;12469;SK 000278 ;BGO
160035864;12451;RH5HBpPZQRqoCWINH/sLvw==;12449;SK 000965 ;CPH
160102040;12451;9oQD/IetR2qyupxHFd+M1g==;12450;SK 000386 ;OSL
159922631;12450;4q5lxVatRGydGkKTgUDsAg==;12448;SK 000995 ;CPH
159519813;12448;Ifkn8+qUROqEPnXsZO9TPg==;12452;SK 004545 ;ALF
159519813;12448;Ifkn8+qUROqEPnXsZO9TPg==;12452;SK 004433 ;TOS
159519813;12448;Ifkn8+qUROqEPnXsZO9TPg==;12452;SK 004430 ;OSL
159519813;12448;Ifkn8+qUROqEPnXsZO9TPg==;12451;SK 004434 ;TOS
159519813;12448;Ifkn8+qUROqEPnXsZO9TPg==;12451;SK 004434 ;OSL
159519813;12448;Ifkn8+qUROqEPnXsZO9TPg==;12451;SK 001471 ;OSL
159519813;12448;Ifkn8+qUROqEPnXsZO9TPg==;12451;SK 001468 ;CPH
155450857;12370;UT+FJiOSTRiKHcM/FKAf3w==;12370;SK 001419 ;ARN
155450857;12370;UT+FJiOSTRiKHcM/FKAf3w==;12370;SK 001408 ;CPH
153985374;12348;nJTdU9xrT9mC0ajXdYfNUQ==;12347;SK 001131 ;ARN
153984589;12347;c2jMyQ4FS4WxRtuHf5qGBw==;12348;SK 001553 ;ARN
153984589;12347;c2jMyQ4FS4WxRtuHf5qGBw==;12349;SK 000001 ;LLA
153984589;12347;c2jMyQ4FS4WxRtuHf5qGBw==;12349;SK 000181 ;ARN
153984589;12347;c2jMyQ4FS4WxRtuHf5qGBw==;12348;SK 001126 ;RNB
153984589;12347;c2jMyQ4FS4WxRtuHf5qGBw==;12349;SK 002182 ;AGH
153984589;12347;c2jMyQ4FS4WxRtuHf5qGBw==;12348;SK 000012 ;ARN
153984589;12347;c2jMyQ4FS4WxRtuHf5qGBw==;12348;SK 000556 ;AMS
151180616;12339;5KDjVMVbR4SWD0sDJzjoSA==;12339;SK 004760 ;MUC
151180616;12339;5KDjVMVbR4SWD0sDJzjoSA==;12343;SK 004409 ;TOS
151180616;12339;5KDjVMVbR4SWD0sDJzjoSA==;12343;SK 004409 ;ALF
151180616;12339;5KDjVMVbR4SWD0sDJzjoSA==;12343;SK 000837 ;OSL
151180616;12339;5KDjVMVbR4SWD0sDJzjoSA==;12339;SK 000345 ;TRD
151180616;12339;5KDjVMVbR4SWD0sDJzjoSA==;12339;SK 004035 ;OSL
151180616;12339;5KDjVMVbR4SWD0sDJzjoSA==;12339;SK 004759 ;OSL
151180616;12339;5KDjVMVbR4SWD0sDJzjoSA==;12340;SK 004004 ;SVG
151180616;12339;5KDjVMVbR4SWD0sDJzjoSA==;12340;SK 004472 ;OSL
151180616;12339;5KDjVMVbR4SWD0sDJzjoSA==;12340;SK 004473 ;KKN
151180616;12339;5KDjVMVbR4SWD0sDJzjoSA==;12340;SK 004524 ;OSL
151180616;12339;5KDjVMVbR4SWD0sDJzjoSA==;12341;SK 000308 ;OSL
151180616;12339;5KDjVMVbR4SWD0sDJzjoSA==;12341;SK 004515 ;MOL
151180616;12339;5KDjVMVbR4SWD0sDJzjoSA==;12342;SK 000305 ;HAU
151180616;12339;5KDjVMVbR4SWD0sDJzjoSA==;12342;SK 004011 ;OSL
151180616;12339;5KDjVMVbR4SWD0sDJzjoSA==;12342;SK 004014 ;SVG
151180616;12339;5KDjVMVbR4SWD0sDJzjoSA==;12342;SK 004546 ;OSL
151180616;12339;5KDjVMVbR4SWD0sDJzjoSA==;12343;SK 000834 ;CDG
151985585;12314;mfuFZtwkRAqu/DRzh2ZECw==;12315;SK 004123 ;BOO
151985585;12314;mfuFZtwkRAqu/DRzh2ZECw==;12315;SK 004122 ;OSL
151985585;12314;mfuFZtwkRAqu/DRzh2ZECw==;12315;SK 004517 ;MOL
151528750;12308;m7SL9ggYTwy9spcIZUTkgQ==;12309;SK 004433 ;TOS
150875789;12297;q+0I4vcoR1WgaADHl0FACg==;12297;SK 000548 ;AMS
150875789;12297;q+0I4vcoR1WgaADHl0FACg==;12297;SK 000547 ;CPH
150889636;12296;qchbuqM1QWS/izFOSjdAYA==;12296;SK 000407M;ARN
150873043;12296;qchbuqM1QWS/izFOSjdAYA==;12296;SK 000407 ;ARN
150873043;12296;qchbuqM1QWS/izFOSjdAYA==;12296;SK 000410 ;CPH
149222661;12267;4lvPBxcUSP62Q4R161nInw==;12269;SK 001483 ;ARN
148420584;12263;Le7qi7H4RyiwK+Yn87RTDA==;12264;SK 001313 ;AES
148420584;12263;Le7qi7H4RyiwK+Yn87RTDA==;12264;SK 004082 ;OSL
148420584;12263;Le7qi7H4RyiwK+Yn87RTDA==;12264;SK 004083 ;EVE
148420584;12263;Le7qi7H4RyiwK+Yn87RTDA==;12263;SK 001320 ;OSL
148476988;12253;IChX5gf/RSuRAcrpsQZRog==;12253;SK 007789 ;CPH
148103651;12247;cLSSLVN5T1asqR2J0G5lqQ==;12248;SK 004607 ;OSL
148103651;12247;cLSSLVN5T1asqR2J0G5lqQ==;12248;SK 000339 ;TRD
